headline,label,
Verizon and SAP Codeveloping Next-Generation IoT Analytics Solutions,Partnership,
SAP Expanding Worldâ€™s Largest Business Network,Story,
SAP Named Market Leader in Global Trade Management Systems by ARC Advisory Group,Award,
Global SAP Survey Reveals How Public Organizations Can Connect Better to Citizens,Partnership,
SAP Brings Enterprise Mobility and 3-D Visualization to Aerospace Manufacturing,Story,
SAP Enable Now Delivers Updates to Maximize SAP S/4HANA Customer Investments,Merger/Invest,
SAP.iO Foundries San Francisco and New York Launch New Accelerator Programs,Story,
Customers Embrace New Sales Effectiveness Paradigm With SAP Sales OnDemand Solution,Story,
SAP Announces Preliminary Fourth Quarter and Full Year 2014 Results,Financials,
SAP Announces 2006 Second Quarter Preliminary Results,Financials,
SAPâ€™s Hybrid Integration Strategy Accelerates Time to Value for Cloud Solutions,Partnership,
China Unicom Vsens Wins the 2016 SAP Telco Excellence Award for Retail,Award,
SAP Committed to Integrity and Transparency; Initiates Thorough Investigation into South Africa Business,Merger/Invest,
New SAP Solution Helps Banking Institutions Meet Financial Reporting Requirements,Solution,
New Releases of SAP Transportation Management and SAP Extended Warehouse Management Deliver Enhanced Digital Logistics,Partnership,
SAP Empowers Users With Trusted Data Discovery and Advanced Insights,Partnership,
SAP and City Football Group Take â€œThe Beautiful Gameâ€?Into the Cloud,Partnership,
SAP Debuts Milestone Offering to Revolutionize Customer Business Transformation,Story,
SAP Recognized by Gartner as Market Leader in Both Data Quality and Data Integration Tools Magic Quadrants,Award,
Duke University Creates Winning Combination With New Player Statistics Site Powered by SAP HANA,Solution,
Top SAP Partners Receive 2014 SAP Pinnacle Awards,Award,
SAP Intelligent Services for Marketing Deliver Deep Learning to Win New Customers and Reduce Churn,Partnership,
SAPâ€™s Lori Mitchell-Keller Elected to NRF Board of Directors,People,
"Honeywell and SAP Partner to Improve Building Performance with Integrated, Cloud-Based Business and Operational Technology Data",Partnership,
"SAP SE Annual General Meeting of Shareholders on May 20, 2020, to Be Held as a Virtual Event",Financials,
SAP Announces Second Quarter 2021 Results,Financials,
SAP to Host Press Conference and Investor Symposium at SAPPHIREÂ® NOW from Orlando,Merger/Invest,
"SAP Named a Leader in Gartner Magic Quadrant for Non-Life Insurance Platforms, Europe",Award,
SAP and Ashoka Changemakers Announce Winners of Global Entrepreneurship Competition,Partnership,
"SAP Named a Category Leader in Data Management, Business Intelligence and Basel III by Chartis",Award,
SAP Introduces SAP Integrated Business Planning Solution for the Real-Time Supply Chain,Solution,
SAP Announces 2008 Third Quarter Preliminary Software and Software-Related Service Revenue Numbers,Financials,
Samsung and SAP Announce Plans to Collaborate and Deliver Innovative Enterprise Solutions on Mobile Devices and Wearables for Key Industries,Partnership,
Research from SAP and Ovum Shows Insurance Industry Still Lacks Integrated Operations Solutions,Partnership,
SAP Extends Customer Engagement Portfolio with New Microservices-Based Revenue Cloud Solution,Partnership,
SAP Named a Leader Among Cloud-Enabled Small Office ERP Solutions by Influential Analyst Firm,Award,
SAP Expands Customer Choice Through New Integration Option in Its Partner Program,Partnership,
SAP expands employee and board member participation in Company`s success (Webmessage),People,
Surviving and Thriving: How Supply Chain Leaders Minimize Risk and Maximize Opportunities,Award,
"SAP to Transform Traditional Database Approach With SAP NetWeaver Business Warehouse, Powered by SAP HANA",Solution,
SAP Offers Unmatched Promotion Sensing and Optimization in the Cloud,Partnership,
SAP Named a Leader in Independent Report Evaluating Industrial IoT Software Platforms,Award,
SAP Named as a Leader in Enterprise Business Intelligence Platforms By Independent Research Firm,Award,
SAP Named a Leader in IDC MarketScape: Worldwide IT Training & Education 2013 Vendor Analysis,Award,
SAP Named as a Leader in B2B and B2C Commerce Suites by Independent Research Firm,Award,
SAP Study Shows Residents Are Requesting Digital Transformation in Civic Services,Story,
"SAP Advances Enterprise Cloud Strategy, Delivers New Innovations Across Applications and Platforms",Partnership,
SAP and Thomson Reuters Simplify Pricing and Reference Data with SAP Market Rates Management,Partnership,
SAP and EIU Research Reveals Ways to Leverage the Cloud to Fuel Collaboration in the Workplace,Partnership,
SAP Announces Leadership Appointments to Drive Scale and Adoption of the SAP Cloud Powered by SAP HANA,Award,
SAP Unlocks Its Broader Portfolio of Software and Technology to Partners for Greater Growth Opportunities with Customers,Partnership,
SAP Names Digital HR Leaders to SAP SuccessFactors Management Team,Award,
Varian Medical Systems Uses SAP to Support Sustainability and Compliance,Story,
Indian Pharmaceutical Company Alkem Laboratories Chooses SAP Ariba Solutions to Accelerate Procurement Transformation,Story,
"Smart, Simple and Secure Technology powered by SAP HANA and SAP Cloud Platform Helps Customers Realize the Intelligent Enterprise",Partnership,
SAP Announces Second Quarter and Half Year 2017 Results,Financials,
SAP Named a Leader in Big Data Streaming Analytics Platforms by Independent Research Firm,Award,
Runway by SAP Returns to New York Fashion Week with New Features Debuting at the Badgley Mischka Runway Show,Solution,
Rolta and SAP Announce a Strategic OEM Agreement,Partnership,
New Version of SAP MaxAttention Offers a Broader Range of Support for Digital Transformation,Story,
SAP Announces Dr. Angelika Dammann as Newest Executive Board Member,People,
Portugal Telecom Brings Customers Streamlined Operations and Increased Agility via Cloud Services for SAP Business One Cloud Powered by SAP HANA,Partnership,
EMPEA Launches New Tool Using Analytic Solutions from SAP to Help Guide Responsible Investment in Emerging Economies,Merger/Invest,
SAP Named a Leader in Predictive Analytics and Machine Learning by Independent Research Firm,Award,
SAP Continues Reign as Leader in Supply Chain Market,Award,
SAP and the EU TUMO Convergence Center Team Up to Boost Digital Education,Partnership,
SAP Customer â€?conwert Immobilien Invest â€?Runs Its Business in Real Time With SAP HANA,Merger/Invest,
SAP Named a Leader in Independent SaaS Human Resource Management Systems Report,Award,
SAP to Announce 2013 Second Quarter Results on July 18,Financials,
SAP and ASUG Offer Members Exceptional Performance and Savings through Exclusive Initiative,Partnership,
SAP Customers Unlock the Power of Intelligent Things,Story,
SAP Cloud Platform Rolls Out New Services and Cloud Choices to Empower the Intelligent Enterprise,Partnership,
"SAP, Roche and Tenthpin Partner to Create New Standard for Clinical Trial Supplies Operation",Story,
"SAP Offers New SaaS Solution to Onboard Millions of Partner Users, Granting Access to Sensitive Data Without Regulatory Risk",Solution,
SAP and SuccessFactors Help European Companies Engage the Workforce of Tomorrow at SuccessConnect 2014 Europe and HR Tech Europe 2014,Partnership,
SAP Digital for Customer Engagement Receives 2016 CUSTOMER Magazine Product of the Year Award; Honored for Exceptional Innovation,Award,
SAP to Power the Customer Experience Transformation,Story,
"New Features in SAP Travel OnDemand Solution Boost Mobility, Compliance and Global Efficiency",Partnership,
SAP and GK Software Develop Unique Retail Solutions Aligned with Customer Experience Strategy from SAP,Partnership,
Mercedes-AMG and Barilla Choose SAP SuccessFactors Solutions to Drive Digital HR Transformation,Story,
SAP and Swiss Re Financial Reporting and Business Steering Co-Innovation Project Completes First Development Stage,Partnership,
Global Organizations Select SAP SuccessFactors Solutions to Accelerate Culture Change and Drive Digital Transformation,Partnership,
SAP IoT Connects the World to Enable Live Business,Partnership,
SAP SuccessFactors Recognized as a Leader in the IDC MarketScape for Worldwide Integrated Talent Management,Award,
SAP Enables Transformative Business Value with New IoT Offerings,Story,
Diplomat Distributors Propels Growth and Measures Success With SAP,Story,
"SAP.iO Kicks Off Second Acceleration Program for Marketing and Commerce Startups in Munich, Germany",Story,
"SAP Simplifies Urban E-Governance With Ecosystem Support From Scytl, Riva Modeling Systems and Rolta",Partnership,
SAP HANA to Transform Business Processes and Data Analysis for Banking and Insurance Customers,Partnership,
European Schools Select SAP Simple Finance to Empower Users and Better Serve Students,Partnership,
SAP Launches SAP Vehicles Network to Accelerate Cloud-Based Vehicle-Centric Services,Partnership,
NBA Selects RISE with SAP to Continue Cloud Evolution,Story,
SAP S/4HANA Retail for Merchandise Management to Transform Sector,Story,
"HPI, University of Potsdam and SAP Partner to Accelerate Next-Gen Innovation",Partnership,
Cloud-Based SAP Learning Hub Goes Indirect for New Education and Growth Opportunities for SAP Partners and Customers,Partnership,
SAP Empowers Developers with Low-Code/No-Code Tools and Further Enhancements to SAP Business Technology Platform,Partnership,
"SAP Bolsters Cloud Leadership, Names Former NGA Human Resources CEO Mike Ettling as Cloud for HR Lead",Award,
SAP to Host Press Conference and Financial Analyst and Investor Conference from SAPPHIRE NOW,Merger/Invest,
SAP Helps Retailers Run Simple for Success at NRF,Story,
New SAP Rapid Deployment Solutions Bring Banks Accelerated Efficiency and Innovations,Partnership,
Business Intelligence Innovations from SAP to Unlock the Power of Data for Real-Time Insights and Optimized Decision-Making,Partnership,
Adobe and SAP Team Up to Deliver Insight-Driven Marketing for Enterprise Customers,Partnership,
Where Does the Money Go? SAP and Oxford Economics Research Reveals Issues with Managing Spend Across the Enterprise,Partnership,
SAP Continues to Invest in Data Centers Worldwide,Merger/Invest,
SAP and SuccessFactors to Deliver Top HR Insights at First HR Leadership Virtual Conference,Award,
Inaugural Retail Index from SAP and Oxford Economics Shows Current Retail Business Strategies Wonâ€™t Support Future Growth,Partnership,
European Businesses Select SAP SuccessFactors Solutions to Help Drive Digital HR Transformation,Partnership,
Digital Assistant and Android Mobile App for SAP SuccessFactors Solutions Redefine the Employee Experience,Story,
SAP Announces Availability of 2014 Annual Report and U.S. Securities and Exchange Commission Filing of Annual Report on Form 20-F,Financials,
SAP.iO Foundry Tokyo Kicks Off Accelerator Program Focused on Consumer Products,Story,
SAP and Esri Help Customers Map Their Way to a Better Bottom Line,Partnership,
"Survey Says: The Cloud Grows Up â€?Business Value Is Evident, Investments Rise Sharply",Merger/Invest,
"SuccessFactors, an SAP Company, Named a Leader in Gartnerâ€™s 2015 Magic Quadrant for Talent Management Suites for the Third Consecutive Year",Award,
SAP Positioned as a Leader in the Magic Quadrant for Integrated Revenue and Customer Management,Award,
Utility Operators Extend Life of Transformers With SAP Grid Infrastructure Analytics,Story,
SAP S/4HANA Enhancements Accelerate Digital Transformation Adoption,Story,
Why Talent Drives Growth: Study from Oxford Economics and SAP Links Workforce Investment and Company Performance,Partnership,
SAP Named Leader for Cloud-Based Business Intelligence and Analytics Platforms by Constellation Research,Award,
SAP Recommends Dividend of â‚?.50 per Share,Financials,
SAP Solutions for Enterprise Information Management Deliver Data Excellence for a Digital Enterprise,Partnership,
SAP Announces Record Full Year and Fourth Quarter 2012 â€?Full Year 2012 Non-IFRS Software and Software-Related Service Revenue Increases 17% to â‚?3.2 Billion,Financials,
SAP Recognized as a Leader in Gartnerâ€™s Magic Quadrant for Multichannel Marketing Hubs for SAP Marketing Cloud,Award,
SAP Named Market Leader in Transportation Management Systems and Selected Warehouse Management System Segments by ARC Advisory Group,Award,
SAP Named a Leader in â€œIDC MarketScape: Worldwide Retail Merchandise Operations Management Solutions 2020â€?021 Vendor Assessmentâ€?Award,,
New Services Driving Agility and Resiliency with SAP Business Technology Platform,Partnership,
SAP to Promote Job Creation and Drive Technology Innovation Through Investments in East African Entrepreneurs,Merger/Invest,
SAP and Partners Co-Innovate to Connect Cars With Parking and Food Services in German Pilot Program,Partnership,
SAP Promotes Proven Leaders to Strengthen the Company,Award,
Fraport Takes Flight with SAP SuccessFactors Solutions,Story,
SAP Supervisory Board Proposes Increased Dividend of â‚?.58 per Share; Enhanced Capital Return of â‚?.5 Billion To Be Used for Share Repurchase Program,Financials,
SAP Kicks Off First SAP.iO Foundry in Asia,Story,
SAP to Acquire Omnichannel Customer Engagement Leader Emarsys,Award,
Tate & Lyleâ€™s Rise to Cloud Infrastructure Made Sweeter with SAP,Story,
SAP Unveils Two New Patient Management Solutions for Healthcare,Story,
SAP Expands SAP IoT Connect 365 with Narrowband IoT Connectivity to Address Evolving Needs of Operators and Enterprises,Partnership,
SAP Continues Mobile Enterprise Management Software Market Leadership,Award,
Wainhouse Research Names SAP SuccessFactors Learning Solution a Champion Video Solution,Story,
SAP Analytics Drives Business Intelligence for the Modern Enterprise,Story,
SAP and Qualtrics Introduce Qualtrics XM for Suppliers to Enhance the Source-to-Pay Experience for Procurement Solutions from SAP,Partnership,
Helping Startups Turn Untapped Data into New Business Opportunities for SAP Customers,Partnership,
SAP Releases Retail Planning Software,Story,
SAP to Announce Results for First Quarter 2020,Financials,
ALDI Nord Switches to the SAP for Retail Solution Portfolio,Story,
The NBAâ€™s Charlotte Hornets Bring Fan Engagement to a New Level with SAP and Phizzle,Partnership,
SAP and NTT Enhance Global Partnership,Partnership,
National Bank of Canada to Use SAP Solution to Support Enterprise-Wide Human Resource Initiatives,Solution,
Industry 4.0: Bosch and SAP Combine Expertise,Partnership,
SAP InfiniteInsight Solution Brings Predictive Analytics to Broad Spectrum of Users,Solution,
SAP Customer DPD in Germany Increases Productivity and Accelerates Growth with SAP HANA,Story,
Study Shows It Pays to Be a Digital Leader,Award,
SAP Promotes Employeesâ€?Entrepreneurial Spirit; Two Teams Take Home Prestigious Hasso Plattner Foundersâ€?Award,Award,
Partner Quotes: SAP Debuts Milestone Offering to Revolutionize Customer Business Transformation with Partners,Partnership,
SAP and Amazon Business Partner to Expand Buyer Choice,Partnership,
SAP Enhances Next-Generation Billing Solution for Communications Service Providers,Solution,
SAP to Announce Results for First Quarter of 2019 on April 24,Financials,
SAP and Sybase Announce Support for App Store Volume Purchase Program in Afaria,Partnership,
"SuccessFactors Announces SuccessConnect 2015, â€œSimplifying the Way the World Worksâ€?,Story
SAP Raises Dividend to 1.15 Euro,Financials
SAP Announces Availability of 2009 Annual Report and U.S. Securities and Exchange Commission Filing on Form 20-F,Financials
Big Wins in the United States for SAP and SuccessFactors,Partnership
SAP Bridges the Gap with Total Workforce Management,Story
SAP Helps Utility Companies Boost Customer Satisfaction and Reduce Costs With New Consumer Mobile App for Outage Reporting"," Bill Payment and More""",Partnership
SAP and IBM Test SAP In-Memory Appliance Software and Demonstrate Incredible Results,Partnership,
SAP Positioned in Leaders Quadrant for Data Integration Tools,Award,
Businesses Around the World Turn Purpose into Performance with SAP SuccessFactors Solutions,Partnership,
SAP Drives Innovation in Continuous Accounting,Story,
SAP Among the Worldâ€™s Top 25 Startup-Friendly Companies and Winner of Corporate Startup Accelerator Award,Award,
SAP HANA Now Generally Available to Customers Worldwide,Story,
"SAPâ€™s Offer for SuccessFactors, Inc. Shares is Successful",Financials,
"SAP Opens Services Center in Portugal With EUR17 Million Investment, Creates 100 New Jobs in 2012",Merger/Invest,
SAP Redefines Enterprise Social Software With New Cloud Offerings,Partnership,
"With SAP Ariba Solutions, ERG Digitalizes Procurement and Upholds Commitment to Sustainability",Story,
SAP to Transform Award-Winning Extreme Sailing Series Experience With Cutting-Edge Technology Innovation,Award,
"SAP Business Suite powered by SAP HANA Exceeds 1,000 Customers",Solution,
SAP and Leading Utility Companies Tap Into Next Generation to Create a Sustainable Future for Energy,Partnership,
Information about upcoming merger of TechniData GmbH into SAP SE,Merger/Invest,
SAP Rated 4.7 Out of 5 in Gartner Inc.â€™s Peer Insights,Award,
SAP and the Management Innovation eXchange Announce M-Prize Winners,Partnership,
MVV Energie Goes Live with SAP CRM powered by SAP HANA,Solution,
SAP Ranked First in Dresner Advisory Servicesâ€?2016 Advanced and Predictive Analytics Market Study for Second Consecutive Year,Award,
Murphy Oil Corp. Renews Commitment to Digital Procurement with SAP Ariba Solutions,Story,
NTT and SAP Deepen Strategic Global Relationship,Partnership,
SAP Consumer Insight 365 Mobile Service Wins Award for Innovation from CTIA E-Tech,Award,
SAP Ariba Solutions Positioned as Visionary in the Gartner Magic Quadrant for Contract Life Cycle Management,Award,
SAP Announces Third Quarter 2021 Results,Financials,
SAP Wins Prestigious Red Dot Award for Design Concept,Award,
SAP Named Leader in Global CRM Software Market,Award,
SAP.iO Fund Invests in Neural-Based Search Company Jina AI,Merger/Invest,
SAP and University of Arizona Survey Signals Key Areas for Growth in Retail Marketing,Partnership,
SAP Customers to Showcase HR Transformation at SAPinsider HR 2017,Story,
Customers Gain Improved Insight to Outperform Financial Expectations With SAP BusinessObjects Planning and Consolidation,Partnership,
SAP.iO Foundry San Francisco Launches Accelerator Program Focused on Travel and Expense Management,Story,
IBM and SAP to Help Financial Institutions Accelerate Cloud Adoption to Modernize Operations in a Secured Environment,Partnership,
SAP Further Extends Real-Time Data Platform With â€œBig Dataâ€?Capabilities,Partnership,
SAP Announces New Enhancements to Human Experience Management Solutions to Bring Workers Back to the Office,Solution,
SAP Supervisory Board Announces Candidates for Elections of Shareholdersâ€?Representatives,People,
SAP Recognized for Excellence in Interface Design with Another Red Dot Design Award,Award,
SAP Announces First Quarter 2009 Results,Financials,
SAP Announces Fourth Quarter and Full-Year 2020 Results,Financials,
SAP Reports Record Fourth Quarter 2010 Software Revenue,Financials,
SAP PartnerEdge Cloud Choice Helps Partners Accelerate Their Cloud Business and Expand SAPâ€™s Channel Focus,Partnership,
Cosmo Oil Adopts SAP Ariba Solutions for Procurement Efficiency,Story,
Leading European Organizations Select SAP Customer Experience Solutions for 360-Degree Customer View,Solution,
SAP Accelerates Customer Cloud Adoption With SAP HANA Cloud Platform Update,Partnership,
SAP and Sybase Reach Key Milestones in Mobility and On-Demand Plans,Partnership,
Kerry Group Transforms Its Global Procurement Group in Weeks With SAP Sourcing OnDemand Solution,Story,
SAP University Alliances Expands Offerings to Executives and Professionals to Help Lead the Digital Transformation,Story,
Asahi Group Digitalizes Indirect Materials Procurement with SAP Ariba Solutions,Story,
SAP Again Named Leader in Transportation Management and Warehouse Management Systems by ARC Advisory Group,Award,
SAP Completes Acquisition of Callidus Software Inc.,Merger/Invest,
SAP Business All-in-One Solutions Powered by SAP HANA Now Globally Available in 52 Countries and for Key Industries,Solution,
SAP Study: Findings Show Key to Cloud Maturity Lies in Enterprise-Wide Strategy,Partnership,
SAP Cited as a Leader for CRM in Independent Research Firm Report,Award,
Partner Quotes: SAP Unveils New Cloud Platform Services and In-Memory Innovation on Hadoop to Accelerate Digital Transformation,Partnership,
SAP SuccessFactors Solutions Positioned as a Leader in Gartner Cloud HCM Suites for Midsize and Large Enterprises Magic Quadrant,Award,
Gartner Names SAP a Leader in Magic Quadrant for Energy and Utilities Enterprise Asset Management Software,Award,
"Digital Transformation Is More Important Than Ever, Digital Skills Gap Remains a Challenge, Study Shows",Story,
SAP PartnerEdge Program for Application Development Helps to Unlock More Big Data and Cloud Opportunities,Partnership,
SAP Named a Leader in 2020 Gartner Magic Quadrant for Data Quality Solutions 14th Time in a Row,Award,
SAP Positioned in Leading Industry Analyst Firmâ€™s Leaders Quadrant for ERP for Midmarket Companies,Award,
SAP Announces Recipients of 2015 SAP Pinnacle Awards,Award,
SAP Named a Leader in Enterprise Data Virtualization by Independent Research Firm,Award,
SAP Social Channels 365 Enhances Multichannel Engagement for the Enterprise,Partnership,
SAP Appoints BjÃ¶rn Goerke Chief Information Officer and Head of Global Cloud Delivery,People,
Information About Upcoming Merger of Signavio GmbH into SAP SE,Merger/Invest,
SAP and Onapsis Proactively Notify and Help Customers Protect Mission-Critical Applications from Active Cyber Threats,Partnership,
SAP Extends Identity Management Capabilities in SAP NetWeaver with Acquisition of MaXware,Merger/Invest,
SAP and Camelot ITLab Form Co-Development Partnership to Deliver Demand-Driven Material Requirements Planning Capabilities,Partnership,
"SAP and BC Centre for Excellence in HIV/AIDS Pioneer New Technology, Redefine Treatment",Partnership,
"SAP, IBM Join Forces to Transform Talent Management with Complementary Industry-Leading HR Solutions",Story,
Getting Containers on Board Faster: Hamburg Steers a Course for the Port of the Future,People,
SAP Announces Preliminary Fourth Quarter and Full Year 2015 Results,Financials,
SAP Announces Third Quarter and First Nine Months 2018 Results,Financials,
SAP Showcases the SAP Digital Boardroom,Story,
SAP Named a Predictive Analytics Leader in 2018 Dresner Market Study,Award,
SAP Announces Third Quarter and First Nine Months 2017 Results,Financials,
SAP HANA Cloud Portal Evaluated by Gartner,Award,
Top Three Research Firms Name SAP SuccessFactors a Leader in Cloud HR,Award,
"SAP Celebrates 1 Million Online Learning Enrollments on the openSAP Platform, Launches Three New Courses",Story,
SAP Unveils New Solution for Smarter Supply Chain Planning,Solution,
SAP Named a Leader by Gartner in Its Magic Quadrant for Sales and Operations Planning Systems of Differentiation,Award,
New SAP Study Shows Growth Depends on Digital Skills Investment,Merger/Invest,
SAP Named an Enterprise Mobile Management Leader by Independent Research Firms,Award,
SAP Appoints Arlen Shenkman North American Chief Financial Officer,People,
SAP Updates Its Full-Year 2017 Effective Tax Rate Outlook to Reflect One-Time Tax Benefit,Story,
New Guide from SAP Helps Enterprises Navigate the Mobile Commerce Opportunity to Engage Customers and Build Loyalty in Developed and Emerging Markets,Partnership,
SAP Wins 2012 PR News CSR Award for 2010 Sustainability Report,Award,
Industry-Leading SAP Afaria Mobile Device Management Solution to Immediately Manage and Secure iOS 6 Devices,Solution,
SAP Named a Leader in â€œBig Dataâ€?Predictive Analytics Solutions by Independent Research Firm,Award,
SAP Expands User Experience Across All-Analytics Platform,Partnership,
Open Industry 4.0 Alliance: An Open Ecosystem for the Digital Transformation of Industrial Manufacturing Plants,Partnership,
SAP Announces 2006 Second Quarter and Six Months Results,Financials,
SAP Hosts Press Conference and Financial Analyst and Investor Conference from SAPPHIRE NOW,Merger/Invest,
SAP Kicks Off SAP.iO Foundries Location in Paris,Story,
Enterprises Embrace Smarter Carbon Management With SAP and the Carbon Disclosure Project,Partnership,
SAP Enables Chief Marketing Officers to Understand and Respond to Social Sentiment in Real Time,People,
SAP Announces Second Quarter 2014 Results,Financials,
SAP Study Says Up to 93 Percent of Companies Consider Intelligent Technology Key to Digital Transformation,Story,
SAP Announces Recipients of 2017 SAP Pinnacle Awards,Award,
SAP announces further public offer to purchase all shares in SAP Systems Integration AG (SAP SI),Financials,
"Accenture, HP and SAP Collaborate to Accelerate the Deployment of SAP HANA",Partnership,
Developing an Information Culture: SAP-Commissioned Study Shows Businesses Believe Collaborative Decision-Making is Key in Gaining Value from Data,Partnership,
SAP Innovation Management Fosters Creative Work Culture,Story,
SAP Celebrates One-Year Anniversary of SAP HANA With Major Milestones,Story,
The ALDO Group Steps Into Omnichannel Shopping with SAP Hybris Solutions,Story,
VMware and SAP Collaborate to Deliver SAP Solutions as a Service on VMware Cloud Infrastructure,Partnership,
SAP Positioned in Leaders Quadrant for Marketing Resource Management,Award,
SAP Equips Team AkzoNobel at Volvo Ocean Race with Biometric Sensor Technology Powered by SAP Leonardo,Solution,
La Trobe University Brings the Simplicity of SAP Cloud powered by SAP HANA to Students and Staff,Story,
SAP Named a Leader in Gartner â€œMagic Quadrant for Data Integration Toolsâ€?Award,,
"SAP and OCEG Survey Reveals Greater Confidence in Governance, Risk and Compliance Benefits",Partnership,
SAP Positioned in the Leaderâ€™s Quadrant of the Magic Quadrant for Transportation Management Systems in Latest Gartner Report,Award,
"Esriâ€™s ArcGIS to Support SAP HANA as Enterprise Geodatabase, Deepening Integration Across Products",Partnership,
SAP.iO Foundry Tokyo Kicks Off Accelerator Program Focused on the Intelligent Enterprise,Story,
SAP Ranked Leader in Worldwide Financial Accounting Applications,Award,
WTA and SAP Team Up to Give Tennis an Analytical Edge With Real-Time Performance Data,Partnership,
"SAP Boosts Blockchain Integration and Customer Flexibility, Launches New Industry Consortia",Partnership,
Independent Research Firm Names SAP a Leader in Translytical Data Platforms,Merger/Invest,
SAP Named a Leader in Enterprise Business Intelligence Platforms and Big Data Predictive Analytics Solutions by Independent Research Firm,Award,
SAP to Accelerate Innovation and Growth in Africa With Up to US $500 Million Investment,Merger/Invest,
SAP and Police Leaders Explore Data-Driven Security Strategies for an Urbanizing World,Award,
SAP Connection Discovery for Public Services Enhances Real-Time Decision Making Capabilities,Partnership,
SAP Lumira Delivers New Innovations on the Desktop and to the Cloud for Self-Service Business Intelligence and Data Discovery,Partnership,
SAP Simplifies Enterprise Mobility with SAP HANA Cloud Platform Mobile Services,Partnership,
SAP Annual General Meeting Approves All Management Proposals by a Significant Majority,Financials,
SAP Positioned as a Leader in 2020 Gartner â€œMagic Quadrant for Metadata Management Solutionsâ€?Award,,
SAP S/4HANA Named Leader in the 2018 ERP Value Matrix by Nucleus Research for Delivering Intelligent ERP,Award,
SAP to Announce Results for First Quarter of 2006 on April 20,Financials,
"SAP Supports Customer Growth in Emerging Markets by Combining SAP ERP With Mobile, Analytic and Cloud Innovations",Partnership,
Analytics Innovations from SAP Help Companies See a Clearer Picture of Their Data,Partnership,
SAP Leadership Center Helps CFOs Drive Enterprise Transformation,Story,
SAP Bridges the Learning Gap,Story,
SAP Announces SAP Connected Health Platform and Strategic Relationships for Transforming Healthcare,Partnership,
NEC Teams With SAP to Help SMEs Benefit from Cloud-Based ERP Solutions in Key Markets Globally,Partnership,
SAP BusinessObjects Planning and Consolidation Awarded Top Marks for Modern Budgeting,Award,
Largest Retailer in South America Selects SAP Carbon Impact OnDemand Solution to Help Manage Emissions and Energy Consumption,Solution,
SAP Customers Embrace Digital Transformation with the Cloud and SAP S/4HANA,Partnership,
"U.S. Department of Justice Clears SAP Acquisition of Ariba, Inc.",Merger/Invest,
SAP SuccessFactors Appoints Kerry Sain as Chief Revenue Officer,People,
SAP and the International Air Transport Association Co-Pilot a New Billing Solution,Partnership,
Sberbank and SAP Complete Russiaâ€™s Largest Cloud Project,Partnership,
SAP Extends Its Leadership in AI-Powered Intelligent ERP with SAP S/4HANA,Award,
"SAP Extends Its Innovation Commitment for SAP S/4HANA, Provides Clarity and Choice on SAP Business Suite 7",Partnership,
"SAP Relocates Greater Boston Area Headquarters, Expands Local Footprint and Drives Innovation",Financials,
SAP to Expand Cloud Presence with Acquisition of Ariba,Merger/Invest,
Ariba Positioned as Leader in Gartner Magic Quadrant for Strategic Sourcing Suites,Award,
"SAP SE to Acquire Qualtrics International Inc., Sees Experience Management as the Future of Business",Story,
SAP Positioned in Leaders Quadrant in 2013 Gartner Corporate Performance Management Suites Magic Quadrant,Award,
"Study: Online Communities Improve Brand Marketing, Buyer Confidence and Customer Lifetime Value",Partnership,
SAP Recommends to Increase Dividend by 20% to â‚?.60 per Share,Financials,
ASUG and LeadershipGarage Join SAP Education Network for Digital Transformation,Story,
Gartner Positions SAP a â€œLeaderâ€?in Magic Quadrant for Single-Instance ERP for Product-Centric Midmarket Companies for Fifth Consecutive Year,Award,
SAP.iO Kicks Off Berlin Startup Accelerator Focused on Machine Learning and Artificial Intelligence,Merger/Invest,
Kongsberg Automotive Drives Employee Engagement with SAP SuccessFactors Solutions,Story,
SAP Data Network Unlocks the Value in Enterprise Data,Story,
SAP PartnerEdge Program for Application Development Gains Global Momentum,Story,
Intelligent Business Operations Bundle powered by SAP HANA Helps Organizations Contextualize Big Data Insights into Processes,Partnership,
SAP Launches SAP SuccessFactors Visa and Permits Management Solution,Story,
SAP Ranked No. 1 in ERP Software Market Share Analysis by Revenue,Award,
SAP Named a Leader in IDC MarketScape: Worldwide B2B Digital Commerce Platforms 2020 Vendor Assessment,Award,
SAP and UPS to Simplify Industrial On-Demand Manufacturing Through End-to-End 3D Printing Innovation,Partnership,
SAP Unveils Next Step for the Cloud powered by SAP HANA,Solution,
SAP Launches New Real-Time Solutions Powered by SAP HANA,Solution,
New Focused Solutions for Developing Custom Innovation on Top of SAP Solution Manager Available Now at SAPStore.com,Solution,
Leading Research Firms Recognize SAP as a Leader in Enabling the Real-Time Supply Chain,Award,
SAP Wins Corporate Finance Award,Award,
New Retail Mobile Apps from SAP Transform the In-Store Shopping Experience,Story,
"SAP Named a Leader in Industry Analyst Firmâ€™s 2013 Magic Quadrant for SAP Implementation Service Providers, Worldwide",Award,
InEight and SAP Announce Strategic OEM Agreement,Partnership,
SAP Cancels Shares and Decreases Capital Stock,Financials,
SAP Customer Experience Solutions Help Mexican Customers Thrive Despite COVID-19,Story,
SAP.iO Foundry Tel Aviv Launches Accelerator Program Focused on Consumer Products,Story,
Vaccine Collaboration Hub from SAP Improves Supply Chain Efficiency for Government and Life Sciences Organizations,Partnership,
